ACSSF,2010m5,ar,001,0005,0000021,90,71,103,392,244,213,316,164,194,259,149,143,132,52,90,16,16,119,90,392,403,186,186,119,354,243,270,259,132,119,18,130,13,16,119,119,16,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000022,89,158,157,706,474,400,343,246,234,559,514,167,526,305,270,85,76,31,89,706,713,305,305,119,715,205,731,559,526,119,144,250,413,85,119,119,85,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000023,82,96,79,482,300,252,340,205,178,196,133,89,235,85,164,119,119,119,82,482,457,260,260,119,407,219,309,196,235,119,125,180,24,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000024,93,186,202,684,383,407,567,327,305,476,272,222,322,175,206,35,17,17,93,684,686,260,260,119,742,568,564,476,322,119,118,278,137,35,119,119,35,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000025,65,82,56,213,144,137,102,75,82,132,63,88,46,22,34,3,3,119,65,213,182,50,50,119,178,98,141,132,46,119,16,41,13,3,119,119,3,65,213,182,149,98,105,58,40,34,32,62,3
ACSSF,2010m5,ar,001,0005,0000026,101,112,118,521,323,342,434,197,295,295,205,158,267,98,201,63,40,28,101,521,522,373,373,119,464,253,423,295,267,9,192,130,121,63,119,119,63,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000027,121,141,110,416,288,247,318,217,171,243,154,145,172,102,96,20,20,119,121,416,391,212,212,119,344,258,281,243,172,119,57,153,25,20,119,119,20,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000028,211,198,211,1651,921,983,1257,740,731,705,430,443,631,263,463,113,75,89,211,1651,1634,1132,1132,119,1076,453,981,705,631,238,400,372,118,113,32,119,108,211,1651,1634,1306,1126,441,598,355,446,649,404,113
ACSSF,2010m5,ar,001,0005,0000029,208,196,210,1194,653,706,1078,576,570,582,323,311,722,411,364,30,6,30,208,1194,1225,499,499,119,1192,981,917,582,722,209,103,584,520,30,119,119,30,208,1194,1225,999,326,1074,689,431,608,312,386,30
ACSSF,2010m5,ar,001,0005,0000030,173,289,292,1231,629,824,1107,514,749,272,180,158,527,255,339,52,43,27,173,1231,1231,1104,1104,119,912,719,594,272,527,105,150,505,76,52,119,119,52,173,1231,1231,1166,422,1122,307,208,233,277,158,52
ACSSF,2010m5,ar,001,0005,0000031,90,146,132,519,287,351,466,218,329,181,135,84,146,63,102,20,13,15,90,519,524,406,406,119,383,269,230,181,146,119,60,126,47,20,119,119,20,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000032,52,92,118,570,308,292,206,113,112,197,175,47,679,410,284,119,119,119,52,570,558,166,166,119,549,101,555,197,679,119,82,232,502,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000033,69,74,92,454,247,278,386,198,231,142,82,84,86,54,53,91,39,58,69,454,449,374,374,119,251,144,174,142,86,119,38,78,119,91,119,119,91,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000034,67,101,102,506,323,283,398,225,264,303,196,203,179,112,91,41,28,29,67,506,513,356,357,9,382,208,349,303,179,119,32,173,36,41,119,119,41,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000035,249,250,268,1765,936,1056,1166,589,809,932,611,500,522,361,269,308,209,180,249,1765,1656,1151,1151,119,1272,612,1007,932,522,105,365,357,225,308,182,119,229,249,1765,1656,1354,1227,701,517,407,323,388,599,308
ACSSF,2010m5,ar,001,0005,0000036,102,135,143,477,308,268,387,271,213,277,160,154,75,50,50,31,31,119,102,477,480,280,280,119,408,267,294,277,75,12,30,51,48,31,119,119,31,102,477,480,430,33,434,125,64,89,58,181,31
