GEO_ID,COUNTY,TOTAL,TOTALurban,TOTALinsideurbanizedareas,TOTALurbanclusters,TOTALrural,STATE
26003,Alger,9601,2972,0,2972,6629,Michigan
24027,Howard,287085,260525,256804,3721,26560,Maryland
53025,Grant,89120,54587,0,54587,34533,Washington
13061,Clay,3183,0,0,0,3183,Georgia
18015,Carroll,20155,3748,0,3748,16407,Indiana
21163,Meade,28602,4033,4033,0,24569,Kentucky
51075,Goochland,21717,653,653,0,21064,Virginia
42047,Elk,31946,14160,0,14160,17786,Pennsylvania
39141,Ross,78064,32263,0,32263,45801,Ohio
21149,McLean,9531,0,0,0,9531,Kentucky
13141,Hancock,9429,3622,0,3622,5807,Georgia
72047,Corozal Municipio,37142,34771,34771,0,2371,PuertoRico
48501,Yoakum,7879,4938,0,4938,2941,Texas
31145,Red Willow,11055,7563,0,7563,3492,Nebraska
51167,Russell,28897,3414,0,3414,25483,Virginia
54099,Wayne,42481,14789,14167,622,27692,WestVirginia
51157,Rappahannock,7373,0,0,0,7373,Virginia
27159,Wadena,13843,4570,0,4570,9273,Minnesota
37005,Alleghany,11155,0,0,0,11155,NorthCarolina
48025,Bee,31861,18168,0,18168,13693,Texas
48329,Midland,136872,120048,120048,0,16824,Texas
45061,Lee,19220,5391,0,5391,13829,SouthCarolina
47051,Franklin,41052,12473,0,12473,28579,Tennessee
38089,Stark,24199,17586,0,17586,6613,NorthDakota
27097,Morrison,33198,9024,0,9024,24174,Minnesota
35045,San Juan,130044,86266,53049,33217,43778,NewMexico
48125,Dickens,2444,0,0,0,2444,Texas
20159,Rice,10083,3652,0,3652,6431,Kansas
48481,Wharton,41280,20683,0,20683,20597,Texas
47139,Polk,16825,0,0,0,16825,Tennessee
21167,Mercer,21331,8715,0,8715,12616,Kentucky
20161,Riley,71115,61269,52833,8436,9846,Kansas
27007,Beltrami,44442,14626,0,14626,29816,Minnesota
51800,Suffolk city,84585,66287,66287,0,18298,Virginia
53015,Cowlitz,102410,73068,61598,11470,29342,Washington
48383,Reagan,3367,2919,0,2919,448,Texas
17125,Mason,14666,3302,0,3302,11364,Illinois
12107,Putnam,74364,32599,0,32599,41765,Florida
17005,Bond,17768,6976,0,6976,10792,Illinois
19125,Marion,33309,17091,0,17091,16218,Iowa
48269,King,286,0,0,0,286,Texas
56021,Laramie,91738,73588,73588,0,18150,Wyoming
17025,Clay,13815,4872,0,4872,8943,Illinois
9009,New Haven,862477,831083,831083,0,31394,Connecticut
36009,Cattaraugus,80317,30719,0,30719,49598,NewYork
48387,Red River,12860,3121,0,3121,9739,Texas
2270,Wade Hampton Census Area,7459,0,0,0,7459,Alaska
48003,Andrews,14786,12346,0,12346,2440,Texas
18109,Morgan,68894,35041,21765,13276,33853,Indiana
5119,Pulaski,382748,335759,335759,0,46989,Arkansas
37137,Pamlico,13144,0,0,0,13144,NorthCarolina
13113,Fayette,106567,87195,87195,0,19372,Georgia
5127,Scott,11233,3330,0,3330,7903,Arkansas
29199,Scotland,4843,0,0,0,4843,Missouri
28127,Simpson,27503,4170,0,4170,23333,Mississippi
29057,Dade,7883,0,0,0,7883,Missouri
21011,Bath,11591,0,0,0,11591,Kentucky
55075,Marinette,41749,15936,0,15936,25813,Wisconsin
29159,Pettis,42201,26258,0,26258,15943,Missouri
29165,Platte,89322,75202,66244,8958,14120,Missouri
51111,Lunenburg,12914,0,0,0,12914,Virginia
41029,Jackson,203206,162458,159079,3379,40748,Oregon
17077,Jackson,60218,37837,28176,9661,22381,Illinois
51570,Colonial Heights city,17411,17411,17411,0,0,Virginia
19049,Dallas,66135,45907,35109,10798,20228,Iowa
39079,Jackson,33225,11768,0,11768,21457,Ohio
45081,Saluda,19875,3870,0,3870,16005,SouthCarolina
31023,Butler,8395,2879,0,2879,5516,Nebraska
53049,Pacific,20920,7370,0,7370,13550,Washington
13069,Coffee,42356,14154,0,14154,28202,Georgia
48185,Grimes,26604,8273,0,8273,18331,Texas
45077,Pickens,119224,76551,76551,0,42673,SouthCarolina
31087,Hitchcock,2908,0,0,0,2908,Nebraska
47179,Washington,122979,90486,90486,0,32493,Tennessee
13179,Liberty,63453,48757,48757,0,14696,Georgia
48043,Brewster,9232,6013,0,6013,3219,Texas
